timestamp,symbol,price
2024-08-12 17:33:36,SAGAUSDT,1.69000000
2024-08-12 17:33:37,SAGAUSDT,1.69030000
2024-08-12 17:33:38,SAGAUSDT,1.69180000
2024-08-12 17:33:38,SAGAUSDT,1.69180000
2024-08-12 17:33:39,SAGAUSDT,1.69150000
2024-08-12 17:33:41,SAGAUSDT,1.69120000
2024-08-12 17:33:42,SAGAUSDT,1.69160000
2024-08-12 17:33:43,SAGAUSDT,1.69030000
2024-08-12 17:33:43,SAGAUSDT,1.69030000
2024-08-12 17:33:45,SAGAUSDT,1.69150000
2024-08-12 17:33:46,SAGAUSDT,1.69150000
2024-08-12 17:33:47,SAGAUSDT,1.69130000
2024-08-12 17:33:47,SAGAUSDT,1.69160000
2024-08-12 17:33:48,SAGAUSDT,1.69150000
2024-08-12 17:33:50,SAGAUSDT,1.69250000
2024-08-12 17:33:51,SAGAUSDT,1.69260000
2024-08-12 17:33:51,SAGAUSDT,1.69260000
2024-08-12 17:33:52,SAGAUSDT,1.69260000
2024-08-12 17:33:54,SAGAUSDT,1.69300000
2024-08-12 17:33:55,SAGAUSDT,1.69390000
2024-08-12 17:33:56,SAGAUSDT,1.69320000
2024-08-12 17:33:57,SAGAUSDT,1.69320000
2024-08-12 17:33:57,SAGAUSDT,1.69390000
2024-08-12 17:33:58,SAGAUSDT,1.69390000
2024-08-12 17:33:59,SAGAUSDT,1.69310000
2024-08-12 17:34:01,SAGAUSDT,1.69310000
2024-08-12 17:34:02,SAGAUSDT,1.69230000
2024-08-12 17:34:03,SAGAUSDT,1.69200000
2024-08-12 17:34:03,SAGAUSDT,1.69180000
2024-08-12 17:34:05,SAGAUSDT,1.69200000
2024-08-12 17:34:06,SAGAUSDT,1.69210000
2024-08-12 17:34:07,SAGAUSDT,1.69210000
2024-08-12 17:34:08,SAGAUSDT,1.69070000
2024-08-12 17:34:08,SAGAUSDT,1.69070000
2024-08-12 17:34:09,SAGAUSDT,1.69070000
2024-08-12 17:34:11,SAGAUSDT,1.69070000
2024-08-12 17:34:11,SAGAUSDT,1.69070000
2024-08-12 17:34:38,SAGAUSDT,1.6918
2024-08-12 17:34:39,SAGAUSDT,1.6915
2024-08-12 17:34:40,SAGAUSDT,1.6919
2024-08-12 17:34:41,SAGAUSDT,1.6919
2024-08-12 17:34:42,SAGAUSDT,1.6919
2024-08-12 17:34:43,SAGAUSDT,1.6925
2024-08-12 17:34:44,SAGAUSDT,1.6919
2024-08-12 17:34:45,SAGAUSDT,1.6917
2024-08-12 17:34:46,SAGAUSDT,1.6912
2024-08-12 17:34:46,SAGAUSDT,1.6912
2024-08-12 17:34:47,SAGAUSDT,1.6912
2024-08-12 17:34:48,SAGAUSDT,1.6913
2024-08-12 17:34:50,SAGAUSDT,1.6913
2024-08-12 17:34:51,SAGAUSDT,1.6911
2024-08-12 17:34:52,SAGAUSDT,1.6898
2024-08-12 17:34:53,SAGAUSDT,1.6898
2024-08-12 17:34:53,SAGAUSDT,1.6891
2024-08-12 17:34:55,SAGAUSDT,1.6895
2024-08-12 17:34:55,SAGAUSDT,1.6895
2024-08-12 17:34:56,SAGAUSDT,1.6891
2024-08-12 17:34:57,SAGAUSDT,1.6889
2024-08-12 17:34:59,SAGAUSDT,1.6889
2024-08-12 17:35:00,SAGAUSDT,1.6881
2024-08-12 17:35:01,SAGAUSDT,1.6895
2024-08-12 17:35:01,SAGAUSDT,1.6881
2024-08-12 17:35:03,SAGAUSDT,1.6899
2024-08-12 17:35:04,SAGAUSDT,1.6906
2024-08-12 17:35:05,SAGAUSDT,1.6910
2024-08-12 17:35:06,SAGAUSDT,1.6910
2024-08-12 17:35:07,SAGAUSDT,1.6907
2024-08-12 17:35:08,SAGAUSDT,1.6905
2024-08-12 17:35:09,SAGAUSDT,1.6912
2024-08-12 17:35:10,SAGAUSDT,1.6915
2024-08-12 17:35:11,SAGAUSDT,1.6938
2024-08-12 17:35:11,SAGAUSDT,1.6936
2024-08-12 17:35:13,SAGAUSDT,1.6930
2024-08-12 17:35:14,SAGAUSDT,1.6919
2024-08-12 17:35:15,SAGAUSDT,1.6916
2024-08-12 17:35:16,SAGAUSDT,1.6919
2024-08-12 17:35:17,SAGAUSDT,1.6919
2024-08-12 17:35:18,SAGAUSDT,1.6910
2024-08-12 17:35:19,SAGAUSDT,1.6916
2024-08-12 17:35:20,SAGAUSDT,1.6908
2024-08-12 17:35:21,SAGAUSDT,1.6903
